Codice;Gender;Age;Titolodistudio;Statocivile;StatusOccupazionale;Annidiscolarizzazione;CERQ_SelfBlame;CERQ_Acceptance;CERQ_Rumination;CERQ_PositiveRefocusing;CERQ_RefocusOnPlanning;CERQ_PositiveReappraisal;CERQ_PuttingIntoPerspective;CERQ_Catastrophizing;CERQ_OtherBlame;CISS_SF_TaskOriented;CISS_SF_EmotionOriented;CISS_SF_TreatOneselfOriented;CISS_SF_ContactFriendOriented;DD_Machiavellianism;DD_Psychopathy;DD_Narcissism;RSA_PerceptionOfSelf;RSA_PerceptionOfFuture;RSA_SructuredStyle;RSA_SocialCompetence;RSA_FamilyCohesion;RSA_SocialResources;SREIS_PerceivingEmotion;SREIS_UseOfEmotion;SREIS_UnderstandingEmotion;SREIS_ManagingEmotion;SREIS_SocialManagement;NVQ;SIMP_Extraversion;SIMP_Agreeableness;SIMP_Conscientiousness;SIMP_EmotionalStability;SIMP_Openess;RAS;SOCS_Cognitive;SOCS_Motivational
FF005;0;25;5;1;8;18;3,25;2,25;3,5;2,25;4;3;2,5;1,75;1,75;3,29;4;1,333333;4,666667;2;4;4,75;2,5;1,5;2,33;4,4;1,2;4,17;3;3,67;2;2;3,25;3;9;5;2;2;5;1,87;3,86;2,5
PP004;1;27;5;1;4;18;2,75;3,5;4,25;2,25;5;3,75;4;1,25;2,5;4,57;2,14;1;3;2,75;1;6,75;4,67;4,5;4,67;4,8;5;4,83;4,25;4,33;4,25;3,5;4,5;1,87;9;8;7;6;9;1,27;4,86;6
NN007;0;18;3;1;8;13;2,25;4,25;3,75;3,75;4,25;4,5;3,5;2,5;2,5;3,57;3,14;1,666667;4,333333;1,25;2,25;3,5;3,83;3,25;2,67;3,6;2,4;4,67;3,75;4,33;4;3,25;3,25;2,6;5;7;6;5;8;1,77;4,14;3,5
CC005;1;52;2;2;4;8;2;2;2;3,5;4,75;3,5;3,75;2;2,5;3,71;1,86;2;3;1,75;2,25;3,5;3,5;2,5;3,67;3;3,8;3,17;3,75;3,67;3;3,75;4,25;1,93;7;5;8;7;5;1,93;4,71;3,75
II006;0;45;2;2;4;8;2,25;2;3,25;2,5;4;4,5;4,5;1,75;2,25;3,86;3,14;2,666667;3,333333;2;1;1;3,83;4,75;3,33;2;5;5;4,5;4;1,25;4,5;5;3,73;3;9;6;5;8;2,53;4,29;7
OO007;0;50;2;2;4;8;1,5;2,75;3,75;1;3,75;2;1,75;4,25;1,75;4,43;2,14;2,666667;3,333333;1,5;1,75;1,25;3,5;4,5;3,67;4,6;3,8;4,33;4;3;2;3,5;4;2,13;9;9;2;1;9;2,03;4,71;6,5
LL006;1;32;3;1;4;13;3,5;2,5;2,75;1,25;2,75;3,25;2,75;1,75;3,5;3,29;3;2;2;4,25;4;4,75;2,5;1,75;4,33;2,6;3;2,83;2,75;2;2,75;2,75;3,5;4,13;6;6;3;5;7;2,27;3,86;3,75
MM005;0;73;1;2;7;5;3;2,5;2,5;3,5;3,5;4,25;3,75;1,25;2,25;4;3,43;4,333333;2,333333;1,25;1,5;3;3,5;3;4;3;2,6;3,17;2,75;3,67;2;3;3,25;3,6;4;8;5;5;5;2,03;4;5,25
PP005;0;30;5;2;4;18;2,5;2,75;3,75;1;2,75;2;1,25;4,25;3;3;4,29;2;1;1,25;4,75;6,25;1,5;2,75;4;1,8;2,6;2,5;2,25;3,67;2,75;3,25;2,75;4,4;1;5;8;5;5;2,7;3,14;6
FF006;0;29;6;1;5;21;2,75;2,25;3,25;1,75;3,25;3;3;1,25;2,5;4;3;2;3,333333;3,25;3,75;7,75;3,5;4,5;4,67;4;3;4,5;4;4;3,5;3,25;4,5;3;5;2;6;5;7;1,7;5,29;6
